Territorialidades;IDHM 2010
Campo Alegre do Fidalgo (PI);0,537
Campo Alegre (SC);0,714
Campo Azul (MG);0,621
Campo Belo do Sul (SC);0,641
Campo Belo (MG);0,711
Campo Bom (RS);0,745
Campo Bonito (PR);0,681
Campo do Brito (SE);0,621
Campo do Meio (MG);0,683
Campo do Tenente (PR);0,686
Campo Erê (SC);0,69
Campo Florido (MG);0,706
Campo Formoso (BA);0,586
Campo Grande (AL);0,524
Campo Grande do Piauí (PI);0,56
Campo Grande (MS);0,784
Campo Largo do Piauí (PI);0,528
Campo Largo (PR);0,745
Campo Limpo de Goiás (GO);0,661
Campo Limpo Paulista (SP);0,769
Campo Magro (PR);0,701
Campo Maior (PI);0,656
Campo Mourão (PR);0,757
Campo Novo de Rondônia (RO);0,593
Campo Novo do Parecis (MT);0,734
Campo Novo (RS);0,703
Campo Redondo (RN);0,626
Campos Altos (MG);0,702
Campos Belos (GO);0,692
Campos Borges (RS);0,708
Campos de Júlio (MT);0,744
Campos do Jordão (SP);0,749
Campos dos Goytacazes (RJ);0,716
Campos Gerais (MG);0,682
Campos Lindos (TO);0,544
Campos Novos Paulista (SP);0,706
Campos Novos (SC);0,742
Campos Sales (CE);0,63
Campos Verdes (GO);0,654
Campo Verde (MT);0,75
Camutanga (PE);0,606
Canaã dos Carajás (PA);0,673
Canaã (MG);0,649
Canabrava do Norte (MT);0,667
Cananéia (SP);0,72
Canapi (AL);0,506
Canápolis (BA);0,565
Canápolis (MG);0,722
Canarana (BA);0,587
Canarana (MT);0,693
Canas (SP);0,704
Cana Verde (MG);0,65
Canavieira (PI);0,583
Canavieiras (BA);0,59
Candeal (BA);0,587
Candeias (BA);0,691
Candeias do Jamari (RO);0,649
Candeias (MG);0,678
Candelária (RS);0,674
Candiba (BA);0,591
Cândido de Abreu (PR);0,629
Cândido Godói (RS);0,728
Cândido Mendes (MA);0,561
Cândido Mota (SP);0,747
Cândido Rodrigues (SP);0,789
Cândido Sales (BA);0,601
Candiota (RS);0,698
Candói (PR);0,635
Canela (RS);0,748
Canelinha (SC);0,697
Canguaretama (RN);0,579
Canguçu (RS);0,65
Canhoba (SE);0,569
Canhotinho (PE);0,541
Canindé (CE);0,612
Canindé de São Francisco (SE);0,567
Canitar (SP);0,68
Canoas (RS);0,75
Canoinhas (SC);0,757
Cansanção (BA);0,557
Cantagalo (MG);0,631
Cantagalo (PR);0,635
Cantagalo (RJ);0,709
Cantanhede (MA);0,565
Cantá (RR);0,619
Canto do Buriti (PI);0,576
Canudos (BA);0,562
Canudos do Vale (RS);0,713
Canutama (AM);0,53
Capanema (PA);0,655
Capanema (PR);0,706
Capão Alto (SC);0,654
Capão Bonito do Sul (RS);0,637
Capão Bonito (SP);0,721
Capão da Canoa (RS);0,743
Capão do Cipó (RS);0,672
Capão do Leão (RS);0,637
Caparaó (MG);0,624
Capela (AL);0,573
Capela de Santana (RS);0,661
Capela do Alto Alegre (BA);0,599
Capela do Alto (SP);0,699
Capela Nova (MG);0,648
Capela (SE);0,615
Capelinha (MG);0,653
Capetinga (MG);0,675
Capim Branco (MG);0,695
Capim Grosso (BA);0,621
Capim (PB);0,533
Capinópolis (MG);0,723
Capinzal do Norte (MA);0,537
Capinzal (SC);0,752
Capistrano (CE);0,611
Capitão Andrade (MG);0,624
Capitão de Campos (PI);0,583
Capitão Enéas (MG);0,639
Capitão Gervásio Oliveira (PI);0,553
Capitão Leônidas Marques (PR);0,716
Capitão Poço (PA);0,548
Capitão (RS);0,746
Capitólio (MG);0,71
Capivari de Baixo (SC);0,767
Capivari do Sul (RS);0,766
Capivari (SP);0,75
Capixaba (AC);0,575
Capoeiras (PE);0,549
Caputira (MG);0,615
Caraá (RS);0,652
Caracaraí (RR);0,624
Caracol (MS);0,647
Caracol (PI);0,552
Caraguatatuba (SP);0,759
Caraíbas (BA);0,555
Caraí (MG);0,558
Carambeí (PR);0,728
Caranaíba (MG);0,634
Carandaí (MG);0,697
Carangola (MG);0,695
Carapebus (RJ);0,713
Carapicuíba (SP);0,749
Caratinga (MG);0,706
Carauari (AM);0,549
Caraúbas do Piauí (PI);0,505
Caraúbas (PB);0,585
Caraúbas (RN);0,638
Caravelas (BA);0,616
Carazinho (RS);0,766
Carbonita (MG);0,638
Cardeal da Silva (BA);0,552
Cardoso Moreira (RJ);0,648
Cardoso (SP);0,722
Careaçu (MG);0,683
Careiro (AM);0,557
Careiro da Várzea (AM);0,568
Cariacica (ES);0,718
Caridade (CE);0,592
Caridade do Piauí (PI);0,541
Carinhanha (BA);0,576
Carira (SE);0,588
Cariré (CE);0,596
Caririaçu (CE);0,578
Cariri do Tocantins (TO);0,662
Cariús (CE);0,597
Carlinda (MT);0,665
Carlópolis (PR);0,713
Carlos Barbosa (RS);0,796
Carlos Chagas (MG);0,648
Carlos Gomes (RS);0,739
Carmésia (MG);0,65
Carmo da Cachoeira (MG);0,655
Carmo da Mata (MG);0,689
Carmo de Minas (MG);0,682
Carmo do Cajuru (MG);0,71
Carmo do Paranaíba (MG);0,705
Carmo do Rio Claro (MG);0,733
Carmo do Rio Verde (GO);0,713
Carmolândia (TO);0,64
Carmópolis de Minas (MG);0,7
Carmópolis (SE);0,643
Carmo (RJ);0,696
Carnaíba (PE);0,583
Carnaúba dos Dantas (RN);0,659
Carnaubais (RN);0,589
Carnaubal (CE);0,593
Carnaubeira da Penha (PE);0,573
Carneirinho (MG);0,741
Carneiros (AL);0,526
Caroebe (RR);0,639
Carolina (MA);0,634
Carpina (PE);0,68
Carrancas (MG);0,725
Carrapateira (PB);0,603
Carrasco Bonito (TO);0,594
Caruaru (PE);0,677
Carutapera (MA);0,574
Carvalhópolis (MG);0,724
Carvalhos (MG);0,646
Casa Branca (SP);0,73
Casa Grande (MG);0,652
Casa Nova (BA);0,57
Cascalho Rico (MG);0,721
Casca (RS);0,785
Cascavel (CE);0,646
Cascavel (PR);0,782
Caseara (TO);0,658
Caseiros (RS);0,703
Casimiro de Abreu (RJ);0,726
Casinhas (PE);0,567
Casserengue (PB);0,514
Cássia dos Coqueiros (SP);0,734
Cássia (MG);0,704
Cassilândia (MS);0,727
Castanhal (PA);0,673
Castanheira (MT);0,665
Castanheiras (RO);0,658
Castelândia (GO);0,701
Castelo do Piauí (PI);0,587
Castelo (ES);0,726
Castilho (SP);0,731
Castro Alves (BA);0,613
Castro (PR);0,703
Cataguases (MG);0,751
Catalão (GO);0,766
Catanduva (SP);0,785
Catanduvas (PR);0,678
Catanduvas (SC);0,714
Catarina (CE);0,618
Catas Altas da Noruega (MG);0,6
Catas Altas (MG);0,684
Catende (PE);0,609
Catiguá (SP);0,751
Catingueira (PB);0,574
Catolândia (BA);0,582
Catolé do Rocha (PB);0,64
Catu (BA);0,677
Catuípe (RS);0,739
Catuji (MG);0,54
Catunda (CE);0,609
Caturaí (GO);0,664
Caturama (BA);0,571
Caturité (PB);0,623
Catuti (MG);0,621
Caucaia (CE);0,682
Cavalcante (GO);0,584
Caxambu do Sul (SC);0,691
Caxambu (MG);0,743
Caxias do Sul (RS);0,782
Caxias (MA);0,624
Caxingó (PI);0,488
Ceará-Mirim (RN);0,616
Cedral (MA);0,605
Cedral (SP);0,766
Cedro (CE);0,627
Cedro de São João (SE);0,623
Cedro do Abaeté (MG);0,678
Cedro (PE);0,615
Celso Ramos (SC);0,719
Centenário do Sul (PR);0,668
Centenário (RS);0,701
Centenário (TO);0,569
Central (BA);0,596
Central de Minas (MG);0,665
Central do Maranhão (MA);0,585
Centralina (MG);0,678
Centro do Guilherme (MA);0,542
Centro Novo do Maranhão (MA);0,518
Cerejeiras (RO);0,692
Ceres (GO);0,775
Cerqueira César (SP);0,729
Cerquilho (SP);0,782
Cerrito (RS);0,649
Cerro Azul (PR);0,573
Cerro Branco (RS);0,661
Cerro Corá (RN);0,607
Cerro Grande do Sul (RS);0,66
Cerro Grande (RS);0,674
Cerro Largo (RS);0,764
Cerro Negro (SC);0,621
Cesário Lange (SP);0,706
Céu Azul (PR);0,732
Cezarina (GO);0,711
Chácara (MG);0,664
Chã de Alegria (PE);0,604
Chã Grande (PE);0,599
Chalé (MG);0,655
Chapada da Natividade (TO);0,62
Chapada de Areia (TO);0,619
Chapada do Norte (MG);0,598
Chapada dos Guimarães (MT);0,688
Chapada Gaúcha (MG);0,635
Chapadão do Céu (GO);0,742
Chapadão do Lageado (SC);0,704
Chapadão do Sul (MS);0,754
Chapada (RS);0,757
Chapadinha (MA);0,604
Chapecó (SC);0,79
Chã Preta (AL);0,575
Charqueada (SP);0,736
Charqueadas (RS);0,747
Charrua (RS);0,62
Chaval (CE);0,586
Chavantes (SP);0,729
Chaves (PA);0,453
Chiador (MG);0,711
Chiapetta (RS);0,732
Chopinzinho (PR);0,74
Choró (CE);0,585
Chorozinho (CE);0,604
Chorrochó (BA);0,6
Chuí (RS);0,706
Chupinguaia (RO);0,652
Chuvisca (RS);0,616
Cianorte (PR);0,755
Cícero Dantas (BA);0,585
Cidade Gaúcha (PR);0,718
Cidade Ocidental (GO);0,717
Cidelândia (MA);0,6
Cidreira (RS);0,729
Cipó (BA);0,601
Cipotânea (MG);0,579
Ciríaco (RS);0,719
Claraval (MG);0,698
Claro dos Poções (MG);0,67
Cláudia (MT);0,699
Cláudio (MG);0,709
Clementina (SP);0,725
Clevelândia (PR);0,694
Coaraci (BA);0,613
Coari (AM);0,586
Cocal de Telha (PI);0,555
Cocal dos Alves (PI);0,498
Cocal do Sul (SC);0,78
Cocalinho (MT);0,66
Cocal (PI);0,497
Cocalzinho de Goiás (GO);0,657
Cocos (BA);0,596
Codajás (AM);0,563
Codó (MA);0,595
Coelho Neto (MA);0,564
Coimbra (MG);0,669
Coité do Nóia (AL);0,533
Coivaras (PI);0,565
Colares (PA);0,602
Colatina (ES);0,746
Colíder (MT);0,713
Colinas do Sul (GO);0,658
Colinas do Tocantins (TO);0,701
Colinas (MA);0,596
Colina (SP);0,757
Colinas (RS);0,765
Colméia (TO);0,671
Colniza (MT);0,611
Colômbia (SP);0,71
Colombo (PR);0,733
Colônia do Gurguéia (PI);0,628
Colônia do Piauí (PI);0,588
Colônia Leopoldina (AL);0,517
Colorado do Oeste (RO);0,685
Colorado (PR);0,73
Colorado (RS);0,758
Coluna (MG);0,583
Combinado (TO);0,697
Comendador Gomes (MG);0,697
Comendador Levy Gasparian (RJ);0,685
Comercinho (MG);0,593
Comodoro (MT);0,689
Conceição da Aparecida (MG);0,691
Conceição da Barra de Minas (MG);0,685
Conceição da Barra (ES);0,681
Conceição da Feira (BA);0,634
Conceição das Alagoas (MG);0,712
Conceição das Pedras (MG);0,668
Conceição de Ipanema (MG);0,676
Conceição de Macabu (RJ);0,712
Conceição do Almeida (BA);0,606
Conceição do Araguaia (PA);0,64
Conceição do Canindé (PI);0,589
Conceição do Castelo (ES);0,67
Conceição do Coité (BA);0,611
Conceição do Jacuípe (BA);0,663
Conceição do Lago-Açu (MA);0,512
Conceição do Mato Dentro (MG);0,634
Conceição do Pará (MG);0,7
Conceição do Rio Verde (MG);0,665
Conceição dos Ouros (MG);0,703
Conceição do Tocantins (TO);0,592
Conceição (PB);0,592
Conchal (SP);0,708
Conchas (SP);0,736
Concórdia do Pará (PA);0,566
Concórdia (SC);0,8
Condado (PB);0,594
Condado (PE);0,602
Conde (BA);0,56
Conde (PB);0,618
Condeúba (BA);0,582
Condor (RS);0,747
Cônego Marinho (MG);0,621
Confins (MG);0,747
Confresa (MT);0,668
Congonhal (MG);0,712
Congonhas do Norte (MG);0,568
Congonhas (MG);0,753
Congonhinhas (PR);0,668
Congo (PB);0,581
Conquista D'Oeste (MT);0,718
Conquista (MG);0,729
Conselheiro Lafaiete (MG);0,761
Conselheiro Mairinck (PR);0,707
Conselheiro Pena (MG);0,662
Consolação (MG);0,673
Constantina (RS);0,754
Contagem (MG);0,756
Contenda (PR);0,681
Contendas do Sincorá (BA);0,577
Coqueiral (MG);0,694
Coqueiro Baixo (RS);0,692
Coqueiros do Sul (RS);0,746
Coqueiro Seco (AL);0,586
Coração de Jesus (MG);0,642
Coração de Maria (BA);0,592
Corbélia (PR);0,738
Cordeirópolis (SP);0,758
Cordeiro (RJ);0,729
Cordeiros (BA);0,579
Cordilheira Alta (SC);0,747
Cordisburgo (MG);0,656
Cordislândia (MG);0,66
Coreaú (CE);0,61
Coremas (PB);0,592
Corguinho (MS);0,671
Coribe (BA);0,6
Corinto (MG);0,68
Cornélio Procópio (PR);0,759
Coroaci (MG);0,626
Coroados (SP);0,719
Coroatá (MA);0,576
Coromandel (MG);0,708
Coronel Barros (RS);0,744
Coronel Bicaco (RS);0,665
Coronel Domingos Soares (PR);0,6
Coronel Ezequiel (RN);0,587
Coronel Fabriciano (MG);0,755
Coronel Freitas (SC);0,744
Coronel João Pessoa (RN);0,578
Coronel João Sá (BA);0,535
Coronel José Dias (PI);0,546
Coronel Macedo (SP);0,69
Coronel Martins (SC);0,696
Coronel Murta (MG);0,627
Coronel Pacheco (MG);0,669
Coronel Pilar (RS);0,727
Coronel Sapucaia (MS);0,589
Coronel Vivida (PR);0,723
Coronel Xavier Chaves (MG);0,677
Córrego Danta (MG);0,692
Córrego do Bom Jesus (MG);0,692
Córrego do Ouro (GO);0,686
Córrego Fundo (MG);0,678
Córrego Novo (MG);0,632
Correia Pinto (SC);0,702
Corrente (PI);0,642
Correntes (PE);0,536
Correntina (BA);0,603
Cortês (PE);0,568
Corumbá de Goiás (GO);0,68
Corumbaíba (GO);0,698
Corumbá (MS);0,7
Corumbataí do Sul (PR);0,638
Corumbataí (SP);0,754
Corumbiara (RO);0,613
Corupá (SC);0,78
Coruripe (AL);0,626
Cosmópolis (SP);0,769
Cosmorama (SP);0,722
Costa Marques (RO);0,611
Costa Rica (MS);0,706
Cotegipe (BA);0,59
Cotia (SP);0,78
Cotiporã (RS);0,741
Cotriguaçu (MT);0,601
Couto de Magalhães de Minas (MG);0,659
Couto Magalhães (TO);0,605
Coxilha (RS);0,706
Coxim (MS);0,703
Coxixola (PB);0,641
Craíbas (AL);0,525
Crateús (CE);0,644
Crato (CE);0,713
Cravinhos (SP);0,756
Cravolândia (BA);0,599
Criciúma (SC);0,788
Crisólita (MG);0,585
Crisópolis (BA);0,543
Crissiumal (RS);0,712
Cristais (MG);0,692
Cristais Paulista (SP);0,734
Cristalândia do Piauí (PI);0,573
Cristalândia (TO);0,673
Cristal do Sul (RS);0,66
Cristália (MG);0,583
Cristalina (GO);0,699
Cristal (RS);0,644
Cristiano Otoni (MG);0,695
Cristianópolis (GO);0,688
Cristina (MG);0,668
Cristinápolis (SE);0,553
Cristino Castro (PI);0,566
Cristópolis (BA);0,614
Crixás do Tocantins (TO);0,644
Crixás (GO);0,708
Croatá (CE);0,59
Cromínia (GO);0,706
Crucilândia (MG);0,651
Cruzália (SP);0,774
Cruz Alta (RS);0,75
Cruzaltense (RS);0,719
Cruz (CE);0,632
Cruz das Almas (BA);0,699
Cruz do Espírito Santo (PB);0,552
Cruzeiro da Fortaleza (MG);0,696
Cruzeiro do Iguaçu (PR);0,709
Cruzeiro do Oeste (PR);0,717
Cruzeiro do Sul (AC);0,664
Cruzeiro do Sul (PR);0,713
Cruzeiro do Sul (RS);0,723
Cruzeiro (SP);0,788
Cruzeta (RN);0,654
Cruzília (MG);0,695
Cruz Machado (PR);0,664
Cruzmaltina (PR);0,666
Cubatão (SP);0,737
Cubati (PB);0,566
Cuiabá (MT);0,785
Cuité de Mamanguape (PB);0,524
Cuitegi (PB);0,57
Cuité (PB);0,591
Cujubim (RO);0,612
Cumari (GO);0,737
Cumaru do Norte (PA);0,55
Cumaru (PE);0,572
Cumbe (SE);0,604
Cunha Porã (SC);0,742
Cunha (SP);0,684
Cunhataí (SC);0,754
Cuparaque (MG);0,627
Cupira (PE);0,592
Curaçá (BA);0,581
Curimatá (PI);0,607
Curionópolis (PA);0,636
Curitibanos (SC);0,721
Curitiba (PR);0,823
Curiúva (PR);0,656
Currais Novos (RN);0,691
Currais (PI);0,542
Curral de Cima (PB);0,529
Curral de Dentro (MG);0,585
Curralinho (PA);0,502
Curralinhos (PI);0,555
Curral Novo do Piauí (PI);0,527
Curral Velho (PB);0,606
Curuá (PA);0,578
Curuçá (PA);0,582
Cururupu (MA);0,612
Curvelândia (MT);0,69
Curvelo (MG);0,713
Custódia (PE);0,594
Cutias (AP);0,628
Damianópolis (GO);0,654
Damião (PB);0,521
Damolândia (GO);0,697
Darcinópolis (TO);0,581
Dário Meira (BA);0,54
Datas (MG);0,616
David Canabarro (RS);0,762
Davinópolis (GO);0,716
Davinópolis (MA);0,607
Delfim Moreira (MG);0,669
Delfinópolis (MG);0,74
Delmiro Gouveia (AL);0,612
Delta (MG);0,639
Demerval Lobão (PI);0,618
Denise (MT);0,683
Deodápolis (MS);0,694
Deputado Irapuan Pinheiro (CE);0,609
Derrubadas (RS);0,707
Descalvado (SP);0,76
Descanso (SC);0,743
Descoberto (MG);0,68
Desterro de Entre Rios (MG);0,639
Desterro do Melo (MG);0,631
Desterro (PB);0,58
Dezesseis de Novembro (RS);0,654
Diadema (SP);0,757
Diamante D'Oeste (PR);0,644
Diamante do Norte (PR);0,723
Diamante do Sul (PR);0,608
Diamante (PB);0,593
Diamantina (MG);0,716
Diamantino (MT);0,718
Dianópolis (TO);0,701
Dias D'Ávila (BA);0,676
Dilermando de Aguiar (RS);0,648
Diogo de Vasconcelos (MG);0,601
Dionísio Cerqueira (SC);0,706
Dionísio (MG);0,702
Diorama (GO);0,729
Dirce Reis (SP);0,741
Dirceu Arcoverde (PI);0,561
Divina Pastora (SE);0,61
Divinésia (MG);0,657
Divino das Laranjeiras (MG);0,661
Divino de São Lourenço (ES);0,632
Divinolândia de Minas (MG);0,623
Divinolândia (SP);0,734
Divino (MG);0,605
Divinópolis de Goiás (GO);0,653
Divinópolis do Tocantins (TO);0,683
Divinópolis (MG);0,764
Divisa Alegre (MG);0,608
Divisa Nova (MG);0,67
Divisópolis (MG);0,609
Dobrada (SP);0,718
Dois Córregos (SP);0,725
Dois Irmãos das Missões (RS);0,67
Dois Irmãos do Buriti (MS);0,639
Dois Irmãos do Tocantins (TO);0,583
Dois Irmãos (RS);0,743
Dois Lajeados (RS);0,757
Dois Riachos (AL);0,532
Dois Vizinhos (PR);0,767
Dolcinópolis (SP);0,742
Dom Aquino (MT);0,69
Dom Basílio (BA);0,591
Dom Bosco (MG);0,673
Dom Cavati (MG);0,688
Dom Eliseu (PA);0,615
Dom Expedito Lopes (PI);0,601
Dom Feliciano (RS);0,587
Domingos Martins (ES);0,669
Domingos Mourão (PI);0,55
Dom Inocêncio (PI);0,549
Dom Joaquim (MG);0,622
Dom Macedo Costa (BA);0,632
Dom Pedrito (RS);0,708
Dom Pedro de Alcântara (RS);0,691
Dom Pedro (MA);0,622
Dom Silvério (MG);0,709
Dom Viçoso (MG);0,687
Dona Emma (SC);0,742
Dona Eusébia (MG);0,701
Dona Francisca (RS);0,697
Dona Inês (PB);0,545
Dores de Campos (MG);0,686
Dores de Guanhães (MG);0,636
Dores do Indaiá (MG);0,719
Dores do Rio Preto (ES);0,654
Dores do Turvo (MG);0,629
Doresópolis (MG);0,692
Dormentes (PE);0,589
Douradina (MS);0,699
Douradina (PR);0,724
Douradoquara (MG);0,706
Dourados (MS);0,747
Dourado (SP);0,738
Doutor Camargo (PR);0,746
Doutor Maurício Cardoso (RS);0,706
Doutor Pedrinho (SC);0,716
Doutor Ricardo (RS);0,724
Doutor Severiano (RN);0,621
Doutor Ulysses (PR);0,546
Doverlândia (GO);0,668
Dracena (SP);0,776
Duartina (SP);0,748
Duas Barras (RJ);0,659
Duas Estradas (PB);0,603
Dueré (TO);0,679
Dumont (SP);0,744
Duque Bacelar (MA);0,533
Duque de Caxias (RJ);0,711
Durandé (MG);0,645
Echaporã (SP);0,745
Ecoporanga (ES);0,662
Edealina (GO);0,702
Edéia (GO);0,739
Eirunepé (AM);0,563
Eldorado dos Carajás (PA);0,56
Eldorado do Sul (RS);0,717
Eldorado (MS);0,684
Eldorado (SP);0,691
Elesbão Veloso (PI);0,58
Elias Fausto (SP);0,695
Eliseu Martins (PI);0,595
Elisiário (SP);0,747
Elísio Medrado (BA);0,623
Elói Mendes (MG);0,685
Emas (PB);0,595
Embaúba (SP);0,73
Embu-Guaçu (SP);0,749
Embu (SP);0,735
Emilianópolis (SP);0,727
Encantado (RS);0,767
Encanto (RN);0,629
Encruzilhada (BA);0,544
Encruzilhada do Sul (RS);0,657
Enéas Marques (PR);0,752
Engenheiro Beltrão (PR);0,73
Engenheiro Caldas (MG);0,644
Engenheiro Coelho (SP);0,732
Engenheiro Navarro (MG);0,655
Engenheiro Paulo de Frontin (RJ);0,722
Engenho Velho (RS);0,717
Entre Folhas (MG);0,634
Entre-Ijuís (RS);0,68
Entre Rios (BA);0,615
Entre Rios de Minas (MG);0,672
Entre Rios do Oeste (PR);0,761
Entre Rios do Sul (RS);0,703
Entre Rios (SC);0,657
Envira (AM);0,509
Epitaciolândia (AC);0,653
Equador (RN);0,623
Erebango (RS);0,712
Erechim (RS);0,776
Ererê (CE);0,61
Érico Cardoso (BA);0,584
Ermo (SC);0,726
Ernestina (RS);0,716
Erval Grande (RS);0,681
Ervália (MG);0,625
Erval Seco (RS);0,685
Erval Velho (SC);0,723
Escada (PE);0,632
Esmeralda (RS);0,68
Esmeraldas (MG);0,671
Espera Feliz (MG);0,663
Esperança do Sul (RS);0,661
Esperança Nova (PR);0,689
Esperança (PB);0,623
Esperantina (PI);0,605
Esperantina (TO);0,57
Esperantinópolis (MA);0,586
Espigão Alto do Iguaçu (PR);0,636
Espigão D'Oeste (RO);0,672
Espinosa (MG);0,627
Espírito Santo do Dourado (MG);0,685
Espírito Santo do Pinhal (SP);0,787
Espírito Santo do Turvo (SP);0,696
Espírito Santo (RN);0,558
Esplanada (BA);0,589
Espumoso (RS);0,765
Estação (RS);0,753
Estância (SE);0,647
Estância Velha (RS);0,757
Esteio (RS);0,754
Estiva Gerbi (SP);0,74
Estiva (MG);0,691
Estreito (MA);0,659
Estrela Dalva (MG);0,71
Estrela de Alagoas (AL);0,534
Estrela D'Oeste (SP);0,76
Estrela do Indaiá (MG);0,676
Estrela do Norte (GO);0,707
Estrela do Norte (SP);0,74
Estrela do Sul (MG);0,696
Estrela (RS);0,767
Estrela Velha (RS);0,679
Euclides da Cunha (BA);0,567
Euclides da Cunha Paulista (SP);0,704
Eugênio de Castro (RS);0,712
Eugenópolis (MG);0,675
Eunápolis (BA);0,677
Eusébio (CE);0,701
Ewbank da Câmara (MG);0,676
Extrema (MG);0,732
Extremoz (RN);0,66
Exu (PE);0,576
Fagundes (PB);0,56
Fagundes Varela (RS);0,763
Faina (GO);0,65
Fama (MG);0,717
Faria Lemos (MG);0,687
Farias Brito (CE);0,633
Farol (PR);0,715
Faro (PA);0,563
Farroupilha (RS);0,777
Fartura do Piauí (PI);0,548
Fartura (SP);0,732
Fátima (BA);0,559
Fátima do Sul (MS);0,714
Fátima (TO);0,697
Faxinal dos Guedes (SC);0,758
Faxinal do Soturno (RS);0,72
Faxinal (PR);0,687
Faxinalzinho (RS);0,666
Fazenda Nova (GO);0,685
Fazenda Rio Grande (PR);0,72
Fazenda Vilanova (RS);0,698
Feijó (AC);0,539
Feira da Mata (BA);0,588
Feira de Santana (BA);0,712
Feira Grande (AL);0,533
Feira Nova do Maranhão (MA);0,532
Feira Nova (PE);0,6
Feira Nova (SE);0,584
Felício dos Santos (MG);0,606
Felipe Guerra (RN);0,636
Felisburgo (MG);0,583
Felixlândia (MG);0,648
Feliz Deserto (AL);0,565
Feliz Natal (MT);0,692
Feliz (RS);0,75
Fênix (PR);0,716
Fernandes Pinheiro (PR);0,645
Fernandes Tourinho (MG);0,646
Fernando de Noronha (PE);0,788
Fernando Falcão (MA);0,443
Fernando Pedroza (RN);0,597
Fernandópolis (SP);0,797
Fernando Prestes (SP);0,758
Fernão (SP);0,703
Ferraz de Vasconcelos (SP);0,738
Ferreira Gomes (AP);0,656
Ferreiros (PE);0,622
Ferros (MG);0,603
Fervedouro (MG);0,58
Figueirão (MS);0,66
Figueira (PR);0,677
Figueirópolis D'Oeste (MT);0,679
Figueirópolis (TO);0,689
Filadélfia (BA);0,565
Filadélfia (TO);0,621
Firmino Alves (BA);0,578
Firminópolis (GO);0,732
Flexeiras (AL);0,527
Floraí (PR);0,745
Florânia (RN);0,642
Flora Rica (SP);0,727
Flor da Serra do Sul (PR);0,682
Flor do Sertão (SC);0,708
Floreal (SP);0,747
Flores da Cunha (RS);0,754
Flores de Goiás (GO);0,597
Flores do Piauí (PI);0,547
Flores (PE);0,556
Floresta Azul (BA);0,557
Floresta do Araguaia (PA);0,583
Floresta do Piauí (PI);0,538
Florestal (MG);0,724
Floresta (PE);0,626
Floresta (PR);0,736
Florestópolis (PR);0,701
Floriano Peixoto (RS);0,663
Floriano (PI);0,7
Florianópolis (SC);0,847
Flórida Paulista (SP);0,715
Flórida (PR);0,732
Florínia (SP);0,713
Fonte Boa (AM);0,53
Fontoura Xavier (RS);0,661
Formiga (MG);0,755
Formigueiro (RS);0,682
Formosa da Serra Negra (MA);0,556
Formosa do Oeste (PR);0,723
Formosa do Rio Preto (BA);0,618
Formosa do Sul (SC);0,715
Formosa (GO);0,744
Formoso do Araguaia (TO);0,67
Formoso (GO);0,715
Formoso (MG);0,64
Forquetinha (RS);0,683
Forquilha (CE);0,644
Forquilhinha (SC);0,753
Fortaleza (CE);0,754
Fortaleza de Minas (MG);0,67
Fortaleza dos Nogueiras (MA);0,616
Fortaleza dos Valos (RS);0,756
Fortaleza do Tabocão (TO);0,659
Fortim (CE);0,624
Fortuna de Minas (MG);0,696
Fortuna (MA);0,58
Foz do Iguaçu (PR);0,751
Foz do Jordão (PR);0,645
Fraiburgo (SC);0,731
Franca (SP);0,78
Francinópolis (PI);0,564
Francisco Alves (PR);0,669
Francisco Ayres (PI);0,577
Francisco Badaró (MG);0,622
Francisco Beltrão (PR);0,774
Francisco Dantas (RN);0,606
Francisco Dumont (MG);0,625
Francisco Macedo (PI);0,553
Francisco Morato (SP);0,703
Franciscópolis (MG);0,603
Francisco Sá (MG);0,654
Francisco Santos (PI);0,608
Franco da Rocha (SP);0,731
Frecheirinha (CE);0,604
Frederico Westphalen (RS);0,76
Frei Gaspar (MG);0,59
Frei Inocêncio (MG);0,648
Frei Lagonegro (MG);0,543
Frei Martinho (PB);0,641
Frei Miguelinho (PE);0,576
Frei Paulo (SE);0,589
Frei Rogério (SC);0,682
Fronteira dos Vales (MG);0,592
Fronteira (MG);0,684
Fronteiras (PI);0,619
Fruta de Leite (MG);0,544
Frutal (MG);0,73
Frutuoso Gomes (RN);0,597
Fundão (ES);0,718
Funilândia (MG);0,655
Gabriel Monteiro (SP);0,763
Gado Bravo (PB);0,513
Gália (SP);0,709
Galiléia (MG);0,654
Galinhos (RN);0,564
Galvão (SC);0,708
Gameleira de Goiás (GO);0,659
Gameleira (PE);0,602
Gameleiras (MG);0,65
Gandu (BA);0,632
Garanhuns (PE);0,664
Gararu (SE);0,564
Garça (SP);0,769
Garibaldi (RS);0,786
Garopaba (SC);0,753
Garrafão do Norte (PA);0,526
Garruchos (RS);0,671
Garuva (SC);0,725
Gaspar (SC);0,765
Gastão Vidigal (SP);0,723
Gaúcha do Norte (MT);0,615
Gaurama (RS);0,738
Gavião (BA);0,599
Gavião Peixoto (SP);0,719
Geminiano (PI);0,561
General Câmara (RS);0,686
General Carneiro (MT);0,67
General Carneiro (PR);0,652
General Maynard (SE);0,645
General Salgado (SP);0,747
General Sampaio (CE);0,568
Gentil (RS);0,733
Gentio do Ouro (BA);0,559
Getulina (SP);0,717
Getúlio Vargas (RS);0,746
Gilbués (PI);0,548
